epoch,Center,Left_bhip,Left_ear,Left_fhip,Nose,Right_bhip,Right_ear,Right_fhip,Spine_1,Spine_2,Tail_1,Tail_2,Tail_base,Tail_tip,loss,lr,val_Center,val_Left_bhip,val_Left_ear,val_Left_fhip,val_Nose,val_Right_bhip,val_Right_ear,val_Right_fhip,val_Spine_1,val_Spine_2,val_Tail_1,val_Tail_2,val_Tail_base,val_Tail_tip,val_loss
0,0.0018161111511290073,0.0024265614338219166,0.0022262302227318287,0.0023060173261910677,0.0017793674487620592,0.002429036423563957,0.002220022724941373,0.0023010866716504097,0.002094763098284602,0.00223065004684031,0.0021101899910718203,0.002206613076850772,0.0019925525411963463,0.0023183405864983797,0.002175538567826152,1e-04,0.0012977822916582227,0.002135646529495716,0.001502669882029295,0.0018361883703619242,0.0009210442658513784,0.0020680679008364677,0.0015184144722297788,0.0017929802415892482,0.0015439152484759688,0.0016371817328035831,0.0018008360639214516,0.0019396976567804813,0.0011333419242873788,0.001503880601376295,0.0016165463021025062
1,0.00111718091648072,0.0017453987384214997,0.0012633937876671553,0.0015071129892021418,0.0007076791953295469,0.001685481984168291,0.0012609090190380812,0.0014109021285548806,0.001261356519535184,0.0013028003741055727,0.0016215642681345344,0.001721672946587205,0.0009154948638752103,0.001199241727590561,0.0013371554668992758,1e-04,0.000962164078373462,0.0015360956313088536,0.0010954724857583642,0.001273980364203453,0.0005643428303301334,0.0013882705243304372,0.0010686026653274894,0.001090962323360145,0.0010577553184702992,0.0012060258304700255,0.001574765658006072,0.0015912175877019763,0.0009130861726589501,0.0009541084873490036,0.0011626321356743574
2,0.0009584187646396458,0.0013349715154618025,0.0009881977457553148,0.0011982264695689082,0.0005432697362266481,0.0013149023288860917,0.000989807303994894,0.0010912528960034251,0.0009990207618102431,0.0010769651271402836,0.0014265552163124084,0.001524067367427051,0.0007412603008560836,0.000947847671341151,0.0010810544481500983,1e-04,0.0008836905471980572,0.0012734881602227688,0.0008825548575259745,0.0010923246154561639,0.000536559266038239,0.001206838060170412,0.0008514357032254338,0.0009568052482791245,0.0009418808040209115,0.0010865821968764067,0.0014287709491327405,0.0015079466393217444,0.0007855628500692546,0.0008882902911864221,0.0010230521438643336
3,0.0008891785982996225,0.001180059858597815,0.000840737484395504,0.0010576340137049556,0.00048211304238066077,0.001171116717159748,0.0008530034683644772,0.0009946923237293959,0.0008910219185054302,0.0009996871231123805,0.0012631731806322932,0.0013835462741553783,0.0006646395777352154,0.0008369166171178222,0.000964823120739311,1e-04,0.0008356976322829723,0.0011906226864084601,0.0008239768212661147,0.0009972715051844716,0.00043518314487300813,0.0011442661052569747,0.0007795648416504264,0.0008755014277994633,0.0008780879434198141,0.001038556220009923,0.0012172434944659472,0.0013347428757697344,0.000640404294244945,0.0006975193973630667,0.0009206170216202736
4,0.0008360219653695822,0.0010928197298198938,0.0007582252146676183,0.0009995565051212907,0.0004456321767065674,0.0010976257035508752,0.0007641851552762091,0.0009273713803850114,0.0008323682122863829,0.0009484084439463913,0.001138791092671454,0.001282426412217319,0.0006188572151586413,0.0007742580492049456,0.0008940387633629143,1e-04,0.0008825445547699928,0.0011440092930570245,0.0007501750951632857,0.0009902988094836473,0.0004931768053211272,0.0010542639065533876,0.0007270820788107812,0.0008929790346883237,0.0008176726405508816,0.0009782114066183567,0.0013324569445103407,0.0013418582966551185,0.0007262103026732802,0.0007193534984253347,0.0009178779437206686
5,0.0008048578747548163,0.0010196863440796733,0.0006915724952705204,0.0009338774252682924,0.0004218190151732415,0.0010303440503776073,0.0006950460956431925,0.0008771124994382262,0.0007876447052694857,0.0008930920739658177,0.0010438391473144293,0.001199674909003079,0.0005794824683107436,0.0007085804245434701,0.0008347589755430818,1e-04,0.000826031609904021,0.0011974509106948972,0.0007414198480546474,0.0009672443848103285,0.0003994434082414955,0.0010118618374690413,0.0007454061997123063,0.0008579509449191391,0.000836999504826963,0.000960308825597167,0.0010473087895661592,0.001146602793596685,0.0005816557095386088,0.0006464425823651254,0.0008547233883291483
6,0.0007653496577404439,0.000962080666795373,0.0006327260634861887,0.0008876831852830946,0.00039836502401158214,0.0009925342164933681,0.000643800653051585,0.0008317508618347347,0.0007440588669851422,0.0008596918196417391,0.0009673578315414488,0.001139757689088583,0.0005468951421789825,0.0006591277779079974,0.0007879412733018398,1e-04,0.000745636411011219,0.0010173596674576402,0.0006517349975183606,0.0008860528469085693,0.00040058247395791113,0.0009657203336246312,0.000609340553637594,0.0007856323500163853,0.000729840830899775,0.0009238451602868736,0.000990493455901742,0.0011482553090900183,0.0005642808391712606,0.0006385117885656655,0.0007898062467575073
7,0.0007420679903589189,0.0009237886988557875,0.0005967479082755744,0.0008545750170014799,0.00038039314677007496,0.0009563834173604846,0.0005942120333202183,0.0007997862994670868,0.0007111520390026271,0.0008360073552466929,0.0009056074195541441,0.0010825775098055601,0.0005253078998066485,0.0006370224873535335,0.0007532589952461421,1e-04,0.0007292241207323968,0.0009868554770946503,0.0005929702892899513,0.000846498878672719,0.000400539836846292,0.0009489548392593861,0.0005497695528902113,0.0007588351727463305,0.0006968993111513555,0.0009017757838591933,0.0009239267674274743,0.0010917425388470292,0.0005380097427405417,0.0006043182802386582,0.000755022861994803
8,0.000715996022336185,0.0008924207650125027,0.0005549690104089677,0.0008244328200817108,0.0003611276624724269,0.0009221085347235203,0.0005587581545114517,0.0007664230070076883,0.0006835373933427036,0.0008071407210081816,0.0008665670757181942,0.0010373188415542245,0.0005023365956731141,0.0005925772711634636,0.0007204084540717304,1e-04,0.0007157193613238633,0.0009582533384673297,0.0005775234312750399,0.0008411106537096202,0.00036965153412893414,0.0009796593803912401,0.0005477135418914258,0.0007398269372060895,0.0006926854839548469,0.0008859485387802124,0.0009641773067414761,0.00112505117431283,0.0005310566630214453,0.0005777539918199182,0.000750437960959971
9,0.0006883001187816262,0.0008545424789190292,0.0005310869310051203,0.0007845766958780587,0.0003500408201944083,0.0008929533651098609,0.0005334751913323998,0.0007323625031858683,0.0006559559842571616,0.0007817536243237555,0.0008251619874499738,0.0010051061399281025,0.00048633175902068615,0.0005658524460159242,0.0006919641164131463,1e-04,0.0007078110356815159,0.0009409922058694065,0.0005874152411706746,0.0008568345219828188,0.0003820470883511007,0.0009013644885271788,0.0005236697033978999,0.0007237534737214446,0.0006685784901492298,0.000861162377987057,0.0008972473442554474,0.0010200138203799725,0.0005112017970532179,0.0005190630909055471,0.0007215108489617705
10,0.0006673305761069059,0.0008271962869912386,0.000504460942465812,0.0007609571912325919,0.00034126389073207974,0.0008657144499011338,0.0005021305405534804,0.0007078428170643747,0.0006208469276316464,0.0007616236689500511,0.0007941004587337375,0.0009819997940212488,0.00046930808457545936,0.0005463642883114517,0.0006679385551251471,1e-04,0.0006977360462769866,0.0009052265086211264,0.0006168769323267043,0.0008747259271331131,0.0003648522833827883,0.0008781549986451864,0.0005386098637245595,0.0007310262299142778,0.0006817603134550154,0.0008469214080832899,0.0008483782294206321,0.0009825282031670213,0.0005028180894441903,0.000522213289514184,0.0007137019420042634
11,0.0006504759658128023,0.0008103380678221583,0.0004800153838004917,0.0007346413331106305,0.00032495686900801957,0.000852955796290189,0.0004859953187406063,0.0006834413507021964,0.0006023265887051821,0.0007425150251947343,0.0007708697230555117,0.0009541475446894765,0.000458819093182683,0.0005202579195611179,0.0006479826406575739,1e-04,0.0007079686038196087,0.0009008200140669942,0.0005449591553770006,0.0008055925136432052,0.00036261658533476293,0.0008873683400452137,0.00054107082542032,0.0007293247617781162,0.0006953047122806311,0.0008570626378059387,0.0008366189431399107,0.00099616136867553,0.00048815985792316496,0.0005261452752165496,0.0007056553731672466
12,0.0006327242590487003,0.0007794470875523984,0.00046096881851553917,0.0007062188815325499,0.0003196506295353174,0.0008200507145375013,0.0004595577483996749,0.0006612071883864701,0.000593055970966816,0.0007283019367605448,0.0007380333845503628,0.0009171896963380277,0.00044505365076474845,0.0005057178786955774,0.0006262269453145564,1e-04,0.0006905831978656352,0.0008963995496742427,0.0005575457471422851,0.0008038028026930988,0.00035239546559751034,0.0008680797764100134,0.0004905214882455766,0.0007349594379775226,0.0007146415882743895,0.0008830894366838038,0.0008523090509697795,0.0009689567959867418,0.0004964843392372131,0.0005098493420518935,0.0007014014408923686
